Date,Price,Open,High,Low,Vol.,Change %
"Oct 23, 2018",6550.00,"6,567.20","6,584.30","6,525.40",8.86K,-0.26%
"Oct 24, 2018",6554.10,"6,550.00","6,623.00","6,543.20",8.49K,0.06%
"Oct 25, 2018",6528.10,"6,554.00","6,566.00","6,500.10",8.71K,-0.40%
"Oct 26, 2018",6531.50,"6,533.40","6,588.30","6,514.30",7.45K,0.05%
"Oct 27, 2018",6500.20,"6,534.90","6,553.90","6,480.10",6.97K,-0.48%
"Oct 28, 2018",6490.10,"6,498.40","6,510.10","6,456.30",6.84K,-0.16%
"Oct 29, 2018",6344.00,"6,490.20","6,505.00","6,320.90",19.56K,-2.25%
"Oct 30, 2018",6330.10,"6,347.10","6,380.00","6,313.20",10.73K,-0.22%
"Oct 31, 2018",6368.40,"6,330.10","6,406.40","6,248.20",9.96K,0.60%
"Nov 01, 2018",6399.70,"6,374.80","6,423.20","6,353.50",9.12K,0.49%
"Nov 02, 2018",6426.90,"6,407.10","6,454.80","6,391.60",8.07K,0.43%
"Nov 03, 2018",6387.90,"6,432.20","6,432.20","6,334.70",11.37K,-0.61%
"Nov 04, 2018",6485.20,"6,389.20","6,509.40","6,360.10",8.96K,1.52%
"Nov 05, 2018",6470.10,"6,495.20","6,495.20","6,439.40",4.81K,-0.23%
"Nov 06, 2018",6515.20,"6,475.00","6,515.30","6,447.80",7.25K,0.70%
"Nov 07, 2018",6572.70,"6,519.00","6,607.10","6,512.20",10.72K,0.88%
"Nov 08, 2018",6479.60,"6,573.00","6,585.00","6,477.00",11.58K,-1.42%
"Nov 09, 2018",6420.20,"6,479.50","6,502.90","6,392.60",10.45K,-0.92%
"Nov 10, 2018",6431.10,"6,414.50","6,461.70","6,414.50",3.25K,0.17%
"Nov 11, 2018",6450.00,"6,431.00","6,459.90","6,364.00",7.34K,0.29%
"Nov 12, 2018",6446.90,"6,481.00","6,481.00","6,418.80",7.30K,-0.05%
"Nov 13, 2018",6464.40,"6,447.00","6,497.50","6,403.50",10.12K,0.27%
"Nov 14, 2018",5884.60,"6,458.90","6,485.00","5,705.00",69.20K,-8.97%
"Nov 15, 2018",5753.40,"5,922.30","5,929.20","5,441.50",49.91K,-2.23%
"Nov 16, 2018",5660.50,"5,731.90","5,756.80","5,555.00",18.43K,-1.61%
"Nov 17, 2018",5626.70,"5,655.70","5,659.20","5,573.60",7.98K,-0.60%
"Nov 18, 2018",5659.40,"5,637.20","5,716.00","5,621.00",9.55K,0.58%
"Nov 19, 2018",4938.10,"5,650.30","5,650.30","4,890.90",74.15K,-12.75%
"Nov 20, 2018",4600.10,"4,944.90","5,048.00","4,318.10",117.22K,-6.84%
"Nov 21, 2018",4666.60,"4,572.80","4,773.40","4,429.90",44.38K,1.45%
"Nov 22, 2018",4392.40,"4,672.10","4,716.80","4,388.50",27.95K,-5.88%
"Nov 23, 2018",4422.70,"4,370.80","4,482.00","4,251.00",36.09K,0.69%
"Nov 24, 2018",3929.80,"4,422.80","4,515.20","3,834.70",50.98K,-11.14%
"Nov 25, 2018",4087.80,"3,934.90","4,211.30","3,663.00",82.18K,4.02%
"Nov 26, 2018",3858.00,"4,111.30","4,196.40","3,708.10",64.08K,-5.62%
"Nov 27, 2018",3884.40,"3,850.10","3,941.60","3,713.20",46.27K,0.68%
"Nov 28, 2018",4306.30,"3,902.30","4,439.60","3,889.90",65.26K,10.86%
"Nov 29, 2018",4312.90,"4,331.40","4,472.00","4,180.60",41.10K,0.15%
"Nov 30, 2018",4038.30,"4,323.30","4,357.40","3,966.20",42.38K,-6.37%
"Dec 01, 2018",4243.00,"4,043.60","4,339.00","3,978.80",27.50K,5.07%
