Date,Price,Open,High,Low,Vol.,Change %
2-Feb-18,8895.80,"9,181.00","9,201.00","7,972.20",123.34K,-3.11%
3-Feb-18,9219.40,"8,887.10","9,495.00","8,189.60",51.91K,3.64%
4-Feb-18,8200.00,"9,225.10","9,403.30","7,840.00",74.42K,-11.06%
5-Feb-18,6949.90,"8,185.20","8,378.00","6,658.80",131.29K,-15.25%
6-Feb-18,7673.80,"6,946.60","7,860.00","6,000.00",192.76K,10.42%
7-Feb-18,7587.00,"7,679.40","8,488.20","7,175.10",106.70K,-1.13%
8-Feb-18,8235.10,"7,585.00","8,648.80","7,579.60",77.62K,8.54%
9-Feb-18,8683.20,"8,240.00","8,748.00","7,734.70",63.03K,5.44%
10-Feb-18,8563.10,"8,678.10","9,074.30","8,152.10",68.15K,-1.38%
11-Feb-18,8069.00,"8,563.00","8,569.00","7,851.00",52.21K,-5.77%
12-Feb-18,8900.60,"8,070.00","9,000.00","8,070.00",51.40K,10.31%
13-Feb-18,8515.90,"8,902.90","8,952.80","8,339.70",39.51K,-4.32%
14-Feb-18,9455.40,"8,515.90","9,488.00","8,512.60",50.36K,11.03%
15-Feb-18,9996.90,"9,454.30","10,175.00","9,338.80",67.53K,5.73%
16-Feb-18,10162.00,"9,996.00","10,270.00","9,674.90",43.89K,1.65%
17-Feb-18,11053.50,"10,161.00","11,083.00","10,050.00",52.80K,8.77%
18-Feb-18,10372.00,"11,062.00","11,250.00","10,122.00",69.83K,-6.17%
19-Feb-18,11173.00,"10,398.00","11,250.00","10,308.00",50.74K,7.72%
20-Feb-18,11218.00,"11,172.00","11,776.00","11,101.00",60.92K,0.40%
21-Feb-18,10455.00,"11,216.00","11,239.00","10,200.00",76.96K,-6.80%
22-Feb-18,9830.00,"10,453.20","10,912.00","9,740.00",71.23K,-5.98%
23-Feb-18,10145.00,"9,826.50","10,395.00","9,583.90",59.07K,3.20%
24-Feb-18,9666.30,"10,144.00","10,499.00","9,350.30",55.70K,-4.72%
25-Feb-18,9557.40,"9,666.30","9,840.00","9,284.30",30.52K,-1.13%
26-Feb-18,10321.00,"9,583.00","10,437.00","9,359.90",45.94K,7.99%
27-Feb-18,10569.00,"10,320.00","10,880.00","10,133.00",39.72K,2.40%
28-Feb-18,10315.00,"10,583.00","11,063.00","10,270.00",43.89K,-2.40%
1-Mar-18,10925.00,"10,316.00","11,087.00","10,224.00",33.87K,5.91%
2-Mar-18,11025.00,"10,908.00","11,189.00","10,766.00",28.86K,0.92%
3-Mar-18,11440.00,"11,024.00","11,526.00","11,024.00",30.65K,3.76%
