Date,Price,Open,High,Low,Vol.,Change %
15-Sep-16,0.0091,0.00606,0.0115,0.00606,7.99M,50.21%
16-Sep-16,0.0072,0.0091,0.00913,0.00677,2.92M,-20.88%
17-Sep-16,0.00708,0.0072,0.00747,0.00695,1.02M,-1.69%
18-Sep-16,0.007,0.00708,0.00708,0.00673,559.95K,-1.12%
19-Sep-16,0.00696,0.007,0.00746,0.00674,68.06K,-0.59%
20-Sep-16,0.00683,0.00696,0.00696,0.0067,929.24K,-1.91%
21-Sep-16,0.0068,0.00683,0.00715,0.00664,882.22K,-0.29%
22-Sep-16,0.00685,0.0068,0.00706,0.00676,133.44K,0.63%
23-Sep-16,0.0074,0.00685,0.00745,0.00674,1.21M,8.06%
24-Sep-16,0.0075,0.0074,0.0075,0.00722,328.11K,1.35%
25-Sep-16,0.00817,0.0075,0.00818,0.0072,681.08K,8.88%
26-Sep-16,0.0077,0.00817,0.0089,0.00769,1.07M,-5.71%
27-Sep-16,0.0084,0.0077,0.00854,0.00765,631.67K,9.16%
28-Sep-16,0.00867,0.0084,0.00926,0.0082,1.12M,3.13%
29-Sep-16,0.0091,0.00867,0.00936,0.00867,1.50M,4.95%
30-Sep-16,0.0086,0.0091,0.0095,0.00856,1.98M,-5.46%
1-Oct-16,0.00798,0.0086,0.00886,0.00788,1.13M,-7.19%
2-Oct-16,0.00795,0.00798,0.0084,0.00795,243.48K,-0.40%
3-Oct-16,0.00817,0.00795,0.0084,0.00795,514.05K,2.75%
4-Oct-16,0.0078,0.00817,0.00818,0.0078,307.52K,-4.52%
5-Oct-16,0.00726,0.0078,0.00801,0.00726,681.84K,-6.97%
6-Oct-16,0.0075,0.00726,0.00765,0.00709,372.69K,3.31%
7-Oct-16,0.00737,0.0075,0.0078,0.00725,299.52K,-1.73%
8-Oct-16,0.00745,0.00737,0.00745,0.00715,108.40K,1.09%
9-Oct-16,0.00745,0.00745,0.0078,0.00733,646.39K,0.00%
10-Oct-16,0.00806,0.00745,0.009,0.00745,771.14K,8.24%
11-Oct-16,0.00781,0.00806,0.00859,0.00764,528.45K,-3.10%
12-Oct-16,0.00792,0.00781,0.00823,0.00769,1.03M,1.37%
13-Oct-16,0.00798,0.00792,0.00798,0.00764,79.46K,0.76%
14-Oct-16,0.00812,0.00798,0.00832,0.00784,558.01K,1.74%
15-Oct-16,0.008,0.00812,0.0084,0.008,416.44K,-1.49%
16-Oct-16,0.00803,0.008,0.00818,0.00796,884.78K,0.39%
17-Oct-16,0.00808,0.00803,0.00833,0.0079,1.41M,0.62%
18-Oct-16,0.0084,0.00808,0.00844,0.008,166.00K,3.96%
19-Oct-16,0.00857,0.0084,0.00879,0.00835,378.47K,2.04%
20-Oct-16,0.0092,0.00857,0.00935,0.00857,1.52M,7.34%
21-Oct-16,0.0091,0.0092,0.0093,0.00866,445.62K,-1.11%
22-Oct-16,0.00888,0.0091,0.0091,0.00876,293.04K,-2.40%
23-Oct-16,0.0089,0.00888,0.00915,0.00879,217.89K,0.26%
24-Oct-16,0.00886,0.0089,0.00949,0.00886,355.61K,-0.48%
25-Oct-16,0.0089,0.00886,0.00921,0.0088,76.50K,0.47%
26-Oct-16,0.00877,0.0089,0.00899,0.00865,33.51K,-1.44%
27-Oct-16,0.00829,0.00877,0.00878,0.00806,1.31M,-5.52%
28-Oct-16,0.0078,0.00829,0.0085,0.00771,1.27M,-5.91%
29-Oct-16,0.00773,0.0078,0.00809,0.00725,1.20M,-0.87%
